id,require_grads,x1,x2,op_type,op_attr,x1_shape,x1_hidden,x2_shape,x2_hidden,grad_of,extra_attr,phase
x0,N,,,T,,"Batch, Seq, Dmodel",1,,,,,forward
w1,Y,,,T,,"Dmodel, Dff",1,,,,,forward
x1,N,x0,w1,M,"bsm,mn->bsn","Batch, Seq, Dmodel",1,"Dmodel, Dff",1,,,forward
w2,Y,,,T,,"Dff, Dmodel",1,,,,,forward
x2,N,x1,w2,M,"bsm,mn->bsn","Batch, Seq, Dff",1,"Dff, Dmodel",1,,,forward
res,N,x2,x0,A,,"Batch, Seq, Dmodel",1,"Batch, Seq, Dmodel",1,,,forward
norm,N,res,,E,5,"Batch, Seq, Dmodel",1,,,,,forward
dnorm,N,,,T,,"Batch, Seq, Dmodel",1,,,norm,,backward
dres,N,dnorm,,E,5,"Batch, Seq, Dmodel",1,,,res,,backward
dx2,N,dres,,I,,"Batch, Seq, Dmodel",1,,,x2,,backward
dw2,N,dx2,x1,M,"bsn,bsm->mn","Batch, Seq, Dmodel",1,"Batch, Seq, Dff",1,w2,,backward
dx1,N,dx2,w2,M,"bsn,mn->bsm","Batch, Seq, Dmodel",1,"Dff, Dmodel",1,x1,,backward
dw1,N,dx1,x0,M,"bsn,bsm->mn","Batch, Seq, Dff",1,"Batch, Seq, Dmodel",1,w1,,backward
dx00,N,dres,,I,,"Batch, Seq, Dmodel",1,,,,,backward
dx01,N,dx1,w1,M,"bsn,ms->bsm","Batch, Seq, Dff",1,"Dmodel, Dff",1,,,backward
dx0,N,dx00,dx01,A,,"Batch, Seq, Dmodel",1,"Batch, Seq, Dmodel",1,x0,,backward
